25,auxiliary,vsploit/pii/email_pii,MAILTO|SUBJECT
80,auxiliary,voip/telisca_ips_lock_control,PHONENAME
5060,auxiliary,voip/sip_invite_spoof,
5060,auxiliary,voip/sip_deregister,
80,auxiliary,voip/cisco_cucdm_speed_dials,
80,auxiliary,voip/cisco_cucdm_call_forward,
5038,auxiliary,voip/asterisk_login,
1521,auxiliary,sqli/oracle/lt_rollbackworkspace,
1521,auxiliary,sqli/oracle/lt_removeworkspace,
1521,auxiliary,sqli/oracle/lt_mergeworkspace,
1521,auxiliary,sqli/oracle/lt_findricset_cursor,
1521,auxiliary,sqli/oracle/lt_compressworkspace,
1521,auxiliary,sqli/oracle/jvm_os_code_11g,
1521,auxiliary,sqli/oracle/jvm_os_code_10g,
1521,auxiliary,sqli/oracle/dbms_metadata_open,
1521,auxiliary,sqli/oracle/dbms_metadata_get_xml,
1521,auxiliary,sqli/oracle/dbms_metadata_get_granted_xml,
1521,auxiliary,sqli/oracle/dbms_export_extension,
1521,auxiliary,sqli/oracle/dbms_cdc_subscribe_activate_subscription,
1521,auxiliary,sqli/oracle/dbms_cdc_publish3,
1521,auxiliary,sqli/oracle/dbms_cdc_publish2,
1521,auxiliary,sqli/oracle/dbms_cdc_publish,
1521,auxiliary,sqli/oracle/dbms_cdc_ipublish,
6000,auxiliary,scanner/x11/open_x11,
5985,auxiliary,scanner/winrm/winrm_wql,USERNAME|PASSWORD
5985,auxiliary,scanner/winrm/winrm_login,
5985,auxiliary,scanner/winrm/winrm_cmd,USERNAME|PASSWORD
5985,auxiliary,scanner/winrm/winrm_auth_methods,
17185,auxiliary,scanner/vxworks/wdbrpc_version,
17185,auxiliary,scanner/vxworks/wdbrpc_bootline,
5900,auxiliary,scanner/vnc/vnc_none_auth,
5900,auxiliary,scanner/vnc/vnc_login,
9084,auxiliary,scanner/vmware/vmware_update_manager_traversal,
8222,auxiliary,scanner/vmware/vmware_server_dir_trav,
443,auxiliary,scanner/vmware/vmware_screenshot_stealer,
443,auxiliary,scanner/vmware/vmware_http_login,
443,auxiliary,scanner/vmware/vmware_host_details,
443,auxiliary,scanner/vmware/vmware_enum_vms,
443,auxiliary,scanner/vmware/vmware_enum_users,
443,auxiliary,scanner/vmware/vmware_enum_sessions,
443,auxiliary,scanner/vmware/vmware_enum_permissions,
902,auxiliary,scanner/vmware/vmauthd_version,
902,auxiliary,scanner/vmware/vmauthd_login,
443,auxiliary,scanner/vmware/esx_fingerprint,
6082,auxiliary,scanner/varnish/varnish_cli_login,
1900,auxiliary,scanner/upnp/ssdp_msearch,
1900,auxiliary,scanner/upnp/ssdp_amp,
69,auxiliary,scanner/tftp/tftpbrute,
69,auxiliary,scanner/tftp/netdecision_tftp,
69,auxiliary,scanner/tftp/ipswitch_whatsupgold_tftp,
23,auxiliary,scanner/telnet/telnet_version,
23,auxiliary,scanner/telnet/telnet_ruggedcom,
23,auxiliary,scanner/telnet/telnet_login,
23,auxiliary,scanner/telnet/telnet_encrypt_overflow,
5000,auxiliary,scanner/telnet/satel_cmd_exec,
9999,auxiliary,scanner/telnet/lantronix_telnet_version,
30718,auxiliary,scanner/telnet/lantronix_telnet_password,
23,auxiliary,scanner/telnet/brocade_enable_login,
27015,auxiliary,scanner/steam/server_info,
443,auxiliary,scanner/ssl/openssl_heartbleed,
443,auxiliary,scanner/ssl/openssl_ccs,
22,auxiliary,scanner/ssh/ssh_version,
22,auxiliary,scanner/ssh/ssh_login_pubkey,KEY_PATH
22,auxiliary,scanner/ssh/ssh_login,
22,auxiliary,scanner/ssh/ssh_identify_pubkeys,KEY_FILE
22,auxiliary,scanner/ssh/ssh_enumusers,USER_FILE
8101,auxiliary,scanner/ssh/karaf_login,
22,auxiliary,scanner/ssh/juniper_backdoor,
22,auxiliary,scanner/ssh/fortinet_backdoor,
22,auxiliary,scanner/ssh/detect_kippo,
22,auxiliary,scanner/ssh/cerberus_sftp_enumusers,USER_FILE
8101,auxiliary,scanner/ssh/apache_karaf_command_execution,
161,auxiliary,scanner/snmp/xerox_workcentre_enumusers,
161,auxiliary,scanner/snmp/ubee_ddw3611,
161,auxiliary,scanner/snmp/snmp_set,OID|OIDVALUE
161,auxiliary,scanner/snmp/snmp_login,
161,auxiliary,scanner/snmp/snmp_enumusers,
161,auxiliary,scanner/snmp/snmp_enumshares,
161,auxiliary,scanner/snmp/snmp_enum_hp_laserjet,
161,auxiliary,scanner/snmp/snmp_enum,
161,auxiliary,scanner/snmp/sbg6580_enum,
161,auxiliary,scanner/snmp/netopia_enum,
161,auxiliary,scanner/snmp/cisco_upload_file,SOURCE
161,auxiliary,scanner/snmp/cisco_config_tftp,
161,auxiliary,scanner/snmp/cambium_snmp_loot,
161,auxiliary,scanner/snmp/brocade_enumhash,
161,auxiliary,scanner/snmp/arris_dg950,
161,auxiliary,scanner/snmp/aix_version,
25,auxiliary,scanner/smtp/smtp_version,
25,auxiliary,scanner/smtp/smtp_relay,
25,auxiliary,scanner/smtp/smtp_ntlm_domain,
25,auxiliary,scanner/smtp/smtp_enum,
445,auxiliary,scanner/smb/smb_ms17_010,
445,auxiliary,scanner/smb/smb_login,
445,auxiliary,scanner/smb/smb_enum_gpp,
445,auxiliary,scanner/smb/smb2,
445,auxiliary,scanner/smb/smb1,
445,auxiliary,scanner/smb/psexec_loggedin_users,
5060,auxiliary,scanner/sip/options_tcp,
5060,auxiliary,scanner/sip/options,
5060,auxiliary,scanner/sip/enumerator_tcp,
5060,auxiliary,scanner/sip/enumerator,
46824,auxiliary,scanner/scada/sielco_winlog_fileaccess,
4800,auxiliary,scanner/scada/moxa_discover,
502,auxiliary,scanner/scada/modbusdetect,
502,auxiliary,scanner/scada/modbusclient,DATA_ADDRESS
502,auxiliary,scanner/scada/modbus_findunitid,
28784,auxiliary,scanner/scada/koyo_login,
80,auxiliary,scanner/scada/indusoft_ntwebserver_fileaccess,
771,auxiliary,scanner/scada/digi_realport_version,
771,auxiliary,scanner/scada/digi_realport_serialport_scan,
2362,auxiliary,scanner/scada/digi_addp_version,
2362,auxiliary,scanner/scada/digi_addp_reboot,
8000,auxiliary,scanner/sap/sap_web_gui_brute_login,
8000,auxiliary,scanner/sap/sap_soap_th_saprel_disclosure,
8000,auxiliary,scanner/sap/sap_soap_rfc_system_info,
8000,auxiliary,scanner/sap/sap_soap_rfc_sxpg_command_exec,
8000,auxiliary,scanner/sap/sap_soap_rfc_sxpg_call_system_exec,
8000,auxiliary,scanner/sap/sap_soap_rfc_susr_rfc_user_interface,
80,auxiliary,scanner/sap/sap_soap_rfc_rzl_read_dir,
8000,auxiliary,scanner/sap/sap_soap_rfc_read_table,
8000,auxiliary,scanner/sap/sap_soap_rfc_ping,
80,auxiliary,scanner/sap/sap_soap_rfc_pfl_check_os_file_existence,
8000,auxiliary,scanner/sap/sap_soap_rfc_eps_get_directory_listing,
8000,auxiliary,scanner/sap/sap_soap_rfc_dbmcli_sxpg_command_exec,
80,auxiliary,scanner/sap/sap_soap_rfc_dbmcli_sxpg_call_system_command_exec,
8000,auxiliary,scanner/sap/sap_soap_rfc_brute_login,
8000,auxiliary,scanner/sap/sap_soap_bapi_user_create1,
8000,auxiliary,scanner/sap/sap_smb_relay,LHOST
3299,auxiliary,scanner/sap/sap_router_portscanner,TARGETS
3299,auxiliary,scanner/sap/sap_router_info_request,
50013,auxiliary,scanner/sap/sap_mgmt_con_version,
50013,auxiliary,scanner/sap/sap_mgmt_con_startprofile,
50013,auxiliary,scanner/sap/sap_mgmt_con_listlogfiles,
50013,auxiliary,scanner/sap/sap_mgmt_con_instanceproperties,
50013,auxiliary,scanner/sap/sap_mgmt_con_getprocessparameter,
50013,auxiliary,scanner/sap/sap_mgmt_con_getprocesslist,
50013,auxiliary,scanner/sap/sap_mgmt_con_getlogfiles,
50013,auxiliary,scanner/sap/sap_mgmt_con_getenv,
50013,auxiliary,scanner/sap/sap_mgmt_con_getaccesspoints,
50013,auxiliary,scanner/sap/sap_mgmt_con_extractusers,
